AÑO,INEGI,ENTIDAD,DELITO,MODALIDAD,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2015,15,MEXICO,EXTORSION,EXTORSION,120,145,142,151,151,133,138,122,121,131,117,137
2015,16,MICHOACAN,HOMICIDIO,DOLOSO,76,51,52,64,112,86,88,86,72,81,87,109
2015,16,MICHOACAN,HOMICIDIO,CULPOSO,136,118,115,108,115,117,136,124,98,111,106,167
2015,16,MICHOACAN,SECUESTRO,SECUESTRO,3,2,3,3,3,4,1,1,3,3,4,4
2015,16,MICHOACAN,EXTORSION,EXTORSION,5,8,7,2,2,3,3,6,3,1,6,3
2015,17,MORELOS,HOMICIDIO,DOLOSO,31,38,60,37,32,45,42,46,52,35,45,53
2015,17,MORELOS,HOMICIDIO,CULPOSO,58,51,35,29,50,31,33,43,25,18,18,15
2015,17,MORELOS,SECUESTRO,SECUESTRO,3,3,2,1,2,3,4,2,3,2,4,4
2015,17,MORELOS,EXTORSION,EXTORSION,16,26,8,16,12,24,36,13,9,6,4,5
2015,18,NAYARIT,HOMICIDIO,DOLOSO,5,5,7,8,4,11,10,15,8,6,8,4
2015,18,NAYARIT,HOMICIDIO,CULPOSO,3,8,8,11,9,6,4,6,4,5,3,5
2015,18,NAYARIT,SECUESTRO,SECUESTRO,4,1,0,1,2,1,1,1,0,1,0,1
2015,18,NAYARIT,EXTORSION,EXTORSION,0,0,0,0,0,0,0,0,0,0,0,1
2015,19,NUEVO LEON,HOMICIDIO,DOLOSO,34,31,33,32,41,56,33,36,49,50,25,31
2015,19,NUEVO LEON,HOMICIDIO,CULPOSO,45,56,76,70,71,53,81,60,89,59,72,81
2015,19,NUEVO LEON,SECUESTRO,SECUESTRO,2,0,3,2,4,1,3,1,1,0,3,2
2015,19,NUEVO LEON,EXTORSION,EXTORSION,25,59,37,57,32,41,33,49,41,54,53,52
2015,20,OAXACA,HOMICIDIO,DOLOSO,56,67,57,49,86,73,93,69,74,63,89,73
2015,20,OAXACA,HOMICIDIO,CULPOSO,95,112,132,99,94,98,97,96,62,58,61,90
2015,20,OAXACA,SECUESTRO,SECUESTRO,2,3,3,3,2,2,0,2,0,4,3,5
2015,20,OAXACA,EXTORSION,EXTORSION,6,11,18,9,10,15,4,3,5,3,5,4
2015,21,PUEBLA,HOMICIDIO,DOLOSO,44,41,39,46,41,43,47,57,51,56,62,34
2015,21,PUEBLA,HOMICIDIO,CULPOSO,54,56,76,81,69,76,53,80,59,83,87,57
2015,21,PUEBLA,SECUESTRO,SECUESTRO,2,3,2,6,1,3,4,2,3,8,0,6
2015,21,PUEBLA,EXTORSION,EXTORSION,28,21,20,18,19,26,21,26,26,28,18,24
2015,22,QUERETARO,HOMICIDIO,DOLOSO,11,11,12,12,13,10,13,13,14,14,13,8
2015,22,QUERETARO,HOMICIDIO,CULPOSO,24,30,25,25,30,29,27,20,33,29,32,36
2015,22,QUERETARO,SECUESTRO,SECUESTRO,1,0,3,2,3,1,2,3,0,2,0,4
2015,22,QUERETARO,EXTORSION,EXTORSION,8,0,1,0,0,0,0,3,0,0,0,0
2015,23,QUINTANA ROO,HOMICIDIO,DOLOSO,15,12,11,20,11,23,21,29,24,23,27,12
2015,23,QUINTANA ROO,HOMICIDIO,CULPOSO,23,26,32,39,33,23,28,22,27,35,28,27
2015,23,QUINTANA ROO,SECUESTRO,SECUESTRO,2,0,0,1,3,1,0,0,0,0,0,0
2015,23,QUINTANA ROO,EXTORSION,EXTORSION,11,13,15,6,2,6,8,10,12,18,10,5
2015,24,SAN LUIS POTOSI,HOMICIDIO,DOLOSO,19,13,15,14,28,25,23,23,17,27,24,29
2015,24,SAN LUIS POTOSI,HOMICIDIO,CULPOSO,14,9,18,14,9,21,13,7,13,9,12,14
2015,24,SAN LUIS POTOSI,SECUESTRO,SECUESTRO,1,5,0,0,1,4,2,1,10,4,0,1
2015,24,SAN LUIS POTOSI,EXTORSION,EXTORSION,13,11,20,15,12,21,15,9,7,11,8,13
2015,25,SINALOA,HOMICIDIO,DOLOSO,69,78,64,82,117,82,78,92,70,76,99,87
2015,25,SINALOA,HOMICIDIO,CULPOSO,47,53,65,61,54,39,43,52,50,60,41,59
2015,25,SINALOA,SECUESTRO,SECUESTRO,1,3,1,1,1,0,1,0,1,1,1,1
2015,25,SINALOA,EXTORSION,EXTORSION,9,10,14,15,25,11,8,4,11,12,8,7
2015,26,SONORA,HOMICIDIO,DOLOSO,36,40,45,32,47,54,62,50,42,42,33,29
2015,26,SONORA,HOMICIDIO,CULPOSO,51,28,36,32,35,48,31,28,35,37,32,35
2015,26,SONORA,SECUESTRO,SECUESTRO,0,0,0,1,3,0,1,0,0,1,1,3
2015,26,SONORA,EXTORSION,EXTORSION,0,1,3,2,2,1,2,3,4,1,0,2
2015,27,TABASCO,HOMICIDIO,DOLOSO,24,13,18,19,16,22,31,26,18,21,17,19
2015,27,TABASCO,HOMICIDIO,CULPOSO,36,48,43,47,36,40,35,47,26,36,43,51
2015,27,TABASCO,SECUESTRO,SECUESTRO,6,8,3,5,9,14,7,3,4,3,8,11
2015,27,TABASCO,EXTORSION,EXTORSION,11,25,13,29,12,16,12,10,21,17,9,10
2015,28,TAMAULIPAS,HOMICIDIO,DOLOSO,49,125,80,84,58,60,74,55,40,38,59,40
2015,28,TAMAULIPAS,HOMICIDIO,CULPOSO,65,67,71,75,101,82,88,64,67,78,66,101
2015,28,TAMAULIPAS,SECUESTRO,SECUESTRO,31,33,27,26,25,35,21,18,31,22,29,29
2015,28,TAMAULIPAS,EXTORSION,EXTORSION,14,21,26,27,18,12,16,11,11,13,9,12
2015,29,TLAXCALA,HOMICIDIO,DOLOSO,5,3,7,8,2,7,3,5,2,6,5,8
2015,29,TLAXCALA,HOMICIDIO,CULPOSO,16,18,22,31,20,18,18,19,35,23,15,40
2015,29,TLAXCALA,SECUESTRO,SECUESTRO,5,0,0,0,1,0,1,0,0,1,0,1
2015,29,TLAXCALA,EXTORSION,EXTORSION,2,0,1,2,1,0,1,0,2,0,0,0
2015,30,VERACRUZ,HOMICIDIO,DOLOSO,30,38,42,41,40,37,64,58,53,65,74,73
2015,30,VERACRUZ,HOMICIDIO,CULPOSO,49,50,40,36,34,39,43,40,44,55,44,35
2015,30,VERACRUZ,SECUESTRO,SECUESTRO,5,10,12,11,9,11,12,11,6,12,10,7
2015,30,VERACRUZ,EXTORSION,EXTORSION,14,15,15,13,11,12,10,9,8,8,9,7
2015,31,YUCATAN,HOMICIDIO,DOLOSO,1,1,8,3,8,4,7,1,4,2,4,10
2015,31,YUCATAN,HOMICIDIO,CULPOSO,4,4,5,4,5,5,4,8,4,4,1,4
2015,31,YUCATAN,SECUESTRO,SECUESTRO,0,0,0,0,0,0,0,0,0,0,0,0
